"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"TP6","TP-107","248mil","750mil","248mil","763mil","248mil","750mil","B","360.00","START"
"TP3","TP-107","1044mil","909mil","1044mil","909mil","1044mil","909mil","B","360.00","VIDEO"
"TP5","TP-107","432mil","750mil","432mil","764mil","432mil","750mil","B","360.00","SYS_CLK"
"TP4","TP-107","1049mil","764mil","960mil","680mil","1049mil","764mil","B","360.00","EOS"
"TP2","TP-107","1210mil","1225mil","1210mil","1225mil","1210mil","1225mil","B","360.00","5V0D"
"TP1","TP-107","1210mil","1393mil","1210mil","1393mil","1210mil","1393mil","B","360.00","DGND"
"C3","0805_SLIM","318mil","350mil","273mil","350mil","273mil","350mil","T","360.00","0.1uF"
"C2","1206","363mil","438.5mil","363mil","439mil","430.5mil","438.5mil","T","270.00","10uF"
"R6","0402_SLIM","463mil","319mil","463mil","294mil","463mil","294mil","T","90.00","100"
"R5","0402_slim","824mil","419mil","824mil","444mil","824mil","444mil","T","270.00","100"
"U1","M08A_N","648mil","369mil","648mil","369mil","553.512mil","444mil","T","360.00","DS90C402M"
"","STARFLAKE","-2725mil","-2415mil","1049mil","380mil","-2725mil","-2415mil","T","180.00",""
"","STARFLAKE","-2725mil","-2415mil","1049mil","380mil","-2725mil","-2415mil","B","360.00",""
"J2","SIP4","137mil","1178mil","137mil","1328mil","137mil","1328mil","B","270.00","WM6438-ND"
"C4","0805_SLIM","824mil","1108mil","824mil","1063mil","824mil","1063mil","B","90.00","0.1"
"C1","0805_SLIM","808mil","1416mil","853mil","1416mil","853mil","1416mil","T","180.00","2.2nF"
"C5","0805_SLIM","561mil","1108mil","561mil","1153mil","561mil","1153mil","B","270.00","0.22"
"C6","0805_SLIM","455mil","1105mil","455mil","1060mil","455mil","1060mil","B","90.00","0.22"
"C7","1206","656mil","796.5mil","656mil","796mil","723.5mil","796.5mil","B","90.00","10uF"
"R2","0805_SLIM","806mil","934mil","806mil","979mil","806mil","979mil","T","270.00","49.9"
"R1","0805_SLIM","734mil","1108mil","734mil","1063mil","734mil","1063mil","T","90.00","2K5"
"R8","0805_SLIM","806mil","934mil","806mil","979mil","806mil","979mil","B","270.00","2K5"
"R7","0805_SLIM","734mil","1108mil","734mil","1153mil","734mil","1153mil","B","270.00","49.9"
"R4","0805_SLIM","470mil","934mil","470mil","979mil","470mil","979mil","T","270.00","2K5"
"R10","0805_SLIM","398mil","934mil","398mil","888.999mil","398mil","889mil","B","90.00","49.9"
"R3","0805_SLIM","398mil","934mil","398mil","888.999mil","398mil","889mil","T","90.00","2K5"
"R9","0805_SLIM","470mil","934mil","470mil","979mil","470mil","979mil","B","270.00","49.9"
"U2","MSOP8","651.999mil","932mil","652mil","932mil","733.692mil","970.386mil","B","270.00","TI THS4521"
"J1","Molex_471554001","676.921mil","1330.685mil","932.039mil","1330.685mil","826.922mil","1311mil","B","180.00",""
"U3","HAMAMATSU_22","649mil","375mil","149mil","575mil","149mil","575mil","B","270.00","Hamamatsu S10453-512Q"

